Start_date,End_date,gridload_,Gridload_hydrops,Hydropumpedstorage_,Residualload_,Biomass_,Hydropower_,Wind_offshore_,Wind_onshore_,Photovoltaics_,Other_renewable_,Nuclear_,Lignite_,Hard_coal_,Fossil_gas_,Hydro_pumped_storage_,Other_conventional_
1-Sep-20,2-Sep-20,1342557,1371834,29277,1125267,103359,56158,17024,69639,130627,4120,189973,314710,182621,212795,28317,33765
2-Sep-20,3-Sep-20,1348501,1381791,33290,1119710,103971,57349,15242,41255,172294,4261,190328,323727,175644,209403,31080,32163
3-Sep-20,4-Sep-20,1360908,1388889,27981,881923,103984,55627,84862,237365,156758,4204,189588,303394,115384,194980,25989,32048
4-Sep-20,5-Sep-20,1331548,1366801,35253,870831,104016,55351,77673,227138,155906,3949,188241,278066,91944,184787,35907,31857
5-Sep-20,6-Sep-20,1129571,1156867,27296,724030,104806,48692,108132,174547,122862,4156,188525,254518,72064,98578,21980,33273
6-Sep-20,7-Sep-20,1045540,1078217,32677,715186,104600,45454,46415,134990,148949,3942,189868,224967,73439,108607,26432,33136
7-Sep-20,8-Sep-20,1309754,1340461,30707,994532,104219,51489,55616,77490,182116,4107,190130,283147,128953,176748,21777,33149
8-Sep-20,9-Sep-20,1387143,1424797,37653,842956,103134,51746,81643,286807,175737,4072,189566,263180,113922,165847,32344,31890
9-Sep-20,10-Sep-20,1396162,1433075,36913,867995,104248,51981,122455,232561,173151,3892,188590,289940,107329,185556,28583,32643
10-Sep-20,11-Sep-20,1373264,1405152,31888,1057679,105553,52043,42984,109219,163383,4032,189530,303493,187569,210845,29007,34250
11-Sep-20,12-Sep-20,1314975,1348611,33636,1008577,105790,48392,71591,49042,185766,4075,189290,307798,176353,208851,21190,33812
12-Sep-20,13-Sep-20,1155350,1187387,32037,639453,104709,44849,102477,225648,187772,3795,184025,196169,71401,127078,25765,32100
13-Sep-20,14-Sep-20,1057888,1096009,38121,583847,103958,42043,109986,166011,198045,3591,182366,179783,59844,116496,21897,31553
14-Sep-20,15-Sep-20,1320813,1349860,29047,1027334,102704,45505,20353,70146,202980,3878,188122,272633,192976,189769,30880,35918
15-Sep-20,16-Sep-20,1370531,1408207,37676,1105974,102553,51519,4707,62874,196977,3817,187707,262607,227371,203732,40486,35781
16-Sep-20,17-Sep-20,1395852,1427574,31722,1013550,103024,45517,72509,146750,163044,3674,186886,258056,210308,191906,22046,33923
17-Sep-20,18-Sep-20,1380337,1410535,30198,895262,104111,42368,59243,252697,173136,3687,187698,256275,157513,179100,24934,34981
18-Sep-20,19-Sep-20,1323934,1365502,41569,863097,105682,39099,27441,228369,205027,3894,189616,269508,108908,178285,23464,36059
19-Sep-20,20-Sep-20,1125446,1154201,28755,676743,105912,35200,53193,201116,194395,4024,161965,222338,56364,166003,23096,36746
